IP;MASK;SUBNET;FIRST ADDRESS;LAST ADDRESS;BROADCAST
55.1.31.41;255.255.255.128;55.1.31.0;55.1.31.1;55.1.31.126;55.1.31.127
172.27.68.124;255.255.255.128;172.27.68.0;172.27.68.1;172.27.68.126;172.27.68.127
55.127.254.231;255.255.0.0;55.127.0.0;55.127.0.1;55.127.255.254;55.127.255.255
172.17.15.115;255.255.255.224;172.17.15.96;172.17.15.97;172.17.15.126;172.17.15.127
172.27.84.1;255.255.255.192;172.27.84.0;172.27.84.1;172.27.84.62;172.27.84.63
172.23.207.65;255.255.255.240;172.23.207.64;172.23.207.65;172.23.207.78;172.23.207.79
172.23.70.1;255.255.254.0;172.23.70.0;172.23.70.1;172.23.71.254;172.23.71.255
172.23.72.1;255.255.254.0;172.23.72.0;172.23.72.1;172.23.73.254;172.23.73.255
172.23.74.1;255.255.255.0;172.23.74.0;172.23.74.1;172.23.74.254;172.23.74.255
172.17.1.169;255.255.255.248;172.17.1.168;172.17.1.169;172.17.1.174;172.17.1.175
172.23.225.138;255.255.255.252;172.23.225.136;172.23.225.137;172.23.225.138;172.23.225.139
172.23.225.141;255.255.255.252;172.23.225.140;172.23.225.141;172.23.225.142;172.23.225.143
172.24.204.242;255.255.255.255;172.24.204.242;172.24.204.242;172.24.204.242;172.24.204.242
192.168.0.10;255.255.255.128;192.168.0.0;192.168.0.1;192.168.0.126;192.168.0.127
172.16.50.50;255.255.240.0;172.16.48.0;172.16.48.1;172.16.63.254;172.16.63.255
